subject,xmin,xmax,ymin,ymax,zmin,zmax,surface_area,cg_x,cg_y,cg_z,density,mass,volume,cg_inert_tensor_x,cg_inert_tensor_y,cg_inert_tensor_z,HORZ_DIAMETER,VERT_DIAMETER,TUBE_LENGTH
capsule,-820.0000000000014,819.9999999999985,-100.0000000000001,99.9999999999999,-61.98781877426052,61.98781877426052,652433.3006645214,-350.0002898234367,0.0,4.578573895952499,1.55e-06,1.4902715618489568,961465.5237735205,3759.181845085439,83413.51992217783,82870.46344981946,100,120,700

capsule,-870.0000000000023,869.9999999999977,-100.00000000000004,99.99999999999996,-62.1068511694354,62.1068511694354,692936.726633435,-375.0000049594821,0.0,4.585023808245972,1.55e-06,1.582447837511275,1020934.0887169515,4000.832735228083,99567.75867701934,98990.71633553326,100,120,750

capsule,-919.9999999999987,920.0000000000014,-100.00000000000011,99.99999999999989,-62.22584445784063,62.22584445784063,733440.3731062753,-400.0000019596739,0.0,4.590737374054315,1.55e-06,1.6746222723229316,1080401.4660147945,4242.479637926896,117699.96805680096,117088.93815481084,100,120,800

capsule,-969.9999999999992,970.0000000000007,-100.00000000000023,99.99999999999977,-62.344940373435335,62.344940373435335,773944.2099966207,-424.9999988293766,0.0,4.595790863415076,1.55e-06,1.7667915262712932,1139865.5008201892,4484.114364389169,137925.05638270665,137280.0322073056,100,120,850

capsule,-1019.9999999999999,1020.0000000000001,-100.0000000000001,99.9999999999999,-62.46412403392937,62.46412403392937,814447.8384309101,-449.99999566749835,0.0,4.600397954660844,1.55e-06,1.8589646558446415,1199332.036028801,4725.760087489287,160358.86829197494,159679.85557531827,100,120,900

capsule,-1070.0000000000007,1069.9999999999993,-99.99999999999997,100.00000000000003,-62.583383293673236,62.583383293673236,854951.4837288479,-474.99999231357333,0.0,4.604576275293499,1.55e-06,1.9511390920394618,1258799.4142190076,4967.406815392053,185116.5287228637,184403.5281829046,100,120,950

capsule,-240.00000000000014,239.99999999999991,-100.00000000000009,99.99999999999993,-70.64644226413151,70.64644226413151,191740.61204297235,-49.99998219342911,0.0,4.574819442564119,1.55e-06,0.4428455777866971,285706.82437851425,1206.0953325236692,2687.4495526654573,2343.056253039636,100,140,100

capsule,-289.9999999999999,290.0000000000001,-100.00000000000007,99.99999999999993,-70.75535983641254,70.75535983641254,235111.5374425836,-74.99999185124489,0.0,4.6792354480124345,1.55e-06,0.5415521708806506,349388.4973423552,1523.3520831290102,4440.738204315941,4010.949364913549,100,140,150

