vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,capsule_fuselage_VERT_DIAMETER
capsule,2345.404161154162,25701.14909252538,25701.14909252538,50.0,1.069310880220146e-15,-43.099999999999994,177.40344159483064
capsule,2338.4061235489407,31064.649430269543,31064.649430269543,50.0,1.204641431454713e-15,-43.1,163.52274408323407
capsule,2327.903235938007,29968.307642738655,29968.307642738655,50.0,2.0060878171060984e-16,-43.1,178.33388739604933
capsule,2324.6871221804076,23363.065319546207,23363.065319546207,49.99999999999999,-4.941139839287063e-16,-43.1,198.31286532860923
capsule,2406.9523528267537,17710.20487088059,17710.20487088059,50.000000000000014,1.704659370063939e-15,-43.10000000000002,199.22360062575987
capsule,2386.6989005735572,13721.4761098573,13721.4761098573,49.99999999999999,6.872293612183319e-16,-43.099999999999994,184.58737468917863
capsule,2359.335455926184,13283.59480987849,13283.59480987849,49.99999999999999,6.816468945450966e-16,-43.100000000000016,180.46643329467244
capsule,2399.1876393823413,11648.785594771914,11648.785594771914,50.0,-6.419186009287417e-16,-43.1,189.42410357741153
capsule,2327.3545048717524,15156.343488147668,15156.343488147668,50.0,7.509780400883982e-16,-43.1,176.10314587882607
capsule,2415.2081735496104,12245.059383186128,12245.059383186128,50.0,-9.091398725730772e-16,-43.1,181.24283066342062
capsule,10909.433329930429,10909.433329930429,10909.433329930429,49.999999999999986,-2.683871908794885e-16,-43.1,178.9975175688231
capsule,2502.7257462111597,12307.149325349588,12307.149325349588,49.99999999999999,-8.696189133200265e-17,-43.1,192.8109738996455
capsule,9487.810404879247,9487.810404879247,9487.810404879247,50.0,-1.6249098404833574e-15,-43.09999999999999,178.81554502167876
capsule,2485.163949847755,7792.961462918241,7792.961462918241,50.00000000000001,-3.675865031909113e-16,-43.1,189.6577819039044
capsule,2462.7050664571934,9270.406085113988,9270.406085113988,50.0,5.587557201071603e-16,-43.1,195.66404758210192
capsule,2482.0630142579353,10401.39268255849,10401.39268255849,49.99999999999999,-2.7893954281512354e-15,-43.099999999999994,202.81359945176533
capsule,2481.3120232646816,11946.51413596444,11946.51413596444,49.999999999999986,1.0766085881427404e-15,-43.1,193.58222552529958
capsule,2500.940493440423,11524.483117450614,11524.483117450614,49.99999999999999,1.2276997101510515e-15,-43.09999999999999,207.84496580863362
