vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,capsule_fuselage_TUBE_LENGTH
capsule,6934.552408882638,6934.552408882638,6934.552408882638,50.0,2.5113614320496143e-16,-43.099999999999994,64.73872867373956
capsule,8641.22734045671,8641.22734045671,8641.22734045671,50.0,1.2886678324690799e-15,-43.1,80.15068403798551
capsule,8171.262304392257,8171.262304392257,8171.262304392257,49.999999999999986,5.956925931488491e-16,-43.1,76.25983741692706
capsule,2627.3333220716404,8174.434548590631,8174.434548590631,49.99999999999999,-6.707000960457234e-16,-43.1,76.2868845033881
capsule,10848.638201676184,10848.638201676184,10848.638201676184,50.00000000000001,-1.5151920758672584e-15,-43.10000000000001,95.94014335746286
capsule,2533.336929972242,12159.132454174753,12159.132454174753,50.00000000000001,2.577524448557467e-16,-43.1,103.89142506782034
capsule,2520.046874974496,13030.162038034678,13030.162038034678,50.0,9.850046488212927e-16,-43.10000000000001,108.74372559692002
capsule,2492.3694673701098,15253.581058196592,15253.581058196592,50.00000000000002,1.3798531080628587e-15,-43.1,119.90511570695622
capsule,12043.983219855414,12043.983219855414,12043.983219855414,50.0,1.0561857524627613e-15,-43.100000000000016,103.2259794031272
capsule,2558.6231052027388,10767.238876721469,10767.238876721469,49.999999999999986,1.1927450967093541e-15,-43.1,95.41656700982458
capsule,2560.0975547334883,10695.202332900448,10695.202332900448,49.99999999999999,-1.0173040175012922e-15,-43.099999999999994,94.95002418716743
capsule,2628.214481661148,8149.208439036781,8149.208439036781,50.00000000000001,-7.606027635160295e-16,-43.1,76.0714932176638
capsule,7781.463974682471,7781.463974682471,7781.463974682471,50.0,-8.664661969756095e-16,-43.10000000000001,72.84785635527133
capsule,2637.1803418625714,7901.342365700158,7901.342365700158,50.0,-8.66878830643763e-16,-43.1,73.91641084329498
capsule,2680.84951044541,6890.065936369019,6890.065936369019,50.00000000000003,-6.694934303835224e-17,-43.100000000000016,64.28218932819107
capsule,2707.545735841092,6399.388227643634,6399.388227643634,50.00000000000001,3.8089349298382705e-16,-43.100000000000016,59.004994519933206
