vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,leg_3_LENGTH,leg_2_LENGTH,arm_1_LENGTH,arm_4_LENGTH,leg_4_LENGTH,arm_2_LENGTH,leg_1_LENGTH,arm_3_LENGTH,prop_3_DIAMETER,prop_4_DIAMETER,prop_2_DIAMETER,prop_1_DIAMETER
quad,14217.425132467995,22563.157679688284,18967.178641803388,14.253647166418077,12.040859322379044,7.549312365770188,-28.17004071772894,119.53058410270343,28.594966745514522,155.42851200454606,68.54324308365328,80.36613563347201,108.76177391541108,248.07774823424322,218.5682585295789,277.92274729392295,92.06312639906153,238.69865497508005
quad,14518.382826075405,22406.01555049538,19080.718632929984,12.213855034872811,12.534198604856348,7.75978114721883,-44.35696216259526,103.89169789450807,14.10514940978896,147.91032902215264,73.77013099792333,93.63203718649928,110.63695692732753,252.42392605770507,211.3643066260501,278.7808990358876,72.4346272956165,232.38093920726902
quad,14336.032765909005,22023.5417691437,19316.30915308983,17.593941675060297,8.430516074862172,6.93773844100368,-27.608813486511124,87.54691250782095,28.08739023044776,144.83678110114624,84.40016853349258,105.67989332370612,98.29326919197615,263.2081173816377,192.19903043249388,281.06147536799654,75.86016510790795,222.78560181989192
quad,14478.165172054267,22712.862622713965,19692.701538634687,15.592152953024451,6.8371692949449505,5.599378093408732,-14.011897131972633,95.37409955048,39.67989228285383,164.7598591081325,73.03417610150636,108.9762289626313,106.71390296886116,271.47534783500595,198.2352355406049,292.16619135069783,89.93989943634432,242.07422023843856
quad,14359.182699437788,22387.837224884897,19526.09666123565,16.824849420304187,11.668524813996394,7.6745183916211985,-30.95396028631233,106.61209094121944,31.84965740627776,169.78992522309863,85.49632616441517,100.01440284727686,96.30158466047405,261.4734160206648,179.2099655215191,288.06517089370806,74.82149806185699,246.15122328873923
quad,14808.39938058041,22736.350977509108,19720.605651796755,14.918776416743654,9.363350155996676,7.698983476146939,-28.209210848937456,101.75799402321236,17.305070819607778,178.3022208872314,83.51182418580308,109.07219828714719,105.78275003289144,260.4800467817082,191.62205762379526,286.14435423149587,66.48949957965627,249.44459640902403
quad,14856.806444428714,23044.664723639977,19272.85300181492,18.908069016130394,7.771304963915922,10.343787724333554,-30.40858950848124,117.78871134920243,23.55312845545461,163.2120853493036,103.2987770721983,93.82359637920588,115.48252571639071,252.5886374485997,174.88504086615822,302.2365353274544,73.24924228574305,254.153605114181
quad,14762.329056924047,23223.922900113397,19446.04475693918,15.978889830414941,4.600628700435501,9.917284016599641,-15.361515800721953,116.6909568904532,41.14860280868716,182.23889925903745,106.94162909815665,78.56968613878283,108.34049640625413,262.9079820600172,189.2521941309094,320.9339157595854,73.26976253117613,273.00098586998536
quad,14798.51695136986,23299.62642120043,19624.05816298341,15.500032111388093,9.139489997060329,9.737744826715183,-6.638025859602875,125.87599459550773,57.11882138347016,201.3619209826501,87.0412536820018,79.45957311612493,100.9565502205772,257.79767535965595,170.7256468153885,306.80967666862813,78.15256668087538,264.19001332579904
quad,14019.925785740808,23084.44314031171,19797.01005742716,24.266143687781618,16.599310509066864,8.428498517269974,-20.675961704475583,110.72893916442577,73.42198040066796,206.22687242997057,73.77831448668988,91.94820109337806,111.2292711079708,253.29736625583374,163.1923103257994,312.0189052664036,78.98302954182681,270.9128619757948
quad,13722.067064755933,22640.015978404426,19459.78454601231,26.65285842441891,22.780595838318916,10.890240180175892,-40.11258524419061,127.7081943631631,54.40498230186426,204.7947481801808,76.653411934897,77.00945518488442,110.8487608746077,243.30478656573038,149.21372819030023,331.7350503320098,79.68289162623518,268.57659160934645
