capsule,xmin,xmax,ymin,ymax,zmin,zmax,surface_area,cg_x,cg_y,cg_z,density,mass,volume,cg_inert_tensor_x,cg_inert_tensor_y,cg_inert_tensor_z
,-349.9999999999998,350.00000000000017,-200.00000000000003,199.99999999999997,-126.01332367751664,126.01332367751664,510003.1452300284,-49.99999906557485,0.0,6.560970527647919,1.55e-06,1.1845105161588858,764200.3330057329,11283.76720309319,17946.96876116997,15522.013337581386
,-400.0000000000003,399.9999999999997,-200.0,200.00000000000003,-126.11485024604585,126.11485024604585,588463.3590569026,-74.99999993939593,0.0,6.8263873053348005,1.55e-06,1.3647452525254746,880480.8080809513,13441.876874531627,24957.904426463563,22094.662463915436
,-450.0000000000001,449.99999999999994,-200.00000000000014,199.99999999999986,-126.21973792962729,126.21973792962729,666923.9325452981,-99.999999938153,0.0,7.029514330707584,1.55e-06,1.544972010824335,996756.1360157,15599.778012006049,33674.57821616898,30373.218451968354
,-500.0000000000001,499.99999999999983,-200.00000000000006,199.99999999999994,-125.05487006549157,125.05487006549157,745384.5285377372,-124.99999993835719,0.0,7.190381460785357,1.55e-06,1.725203326919323,1113034.4044640793,17757.612791745025,44322.39480136431,40583.00786272407
,-549.9999999999999,550.0000000000001,-200.0,200.0,-126.43663051678938,126.43663051678938,823844.5906418018,-150.0000000704094,0.0,7.321004352920286,1.55e-06,1.9054390470625169,1229315.5142338818,19915.409643621613,57126.71061675153,52949.35232538796
,-600.0000000000003,599.9999999999997,-200.00000000000006,199.99999999999997,-126.54763800827013,126.54763800827013,902305.1813936076,-175.00000006944526,0.0,7.4286771300067125,1.55e-06,2.0856639422401897,1345589.640154961,22073.069531422603,72312.61923315826,67697.37285305628
,-650.0000000000002,649.9999999999998,-200.00000000000009,199.99999999999991,-126.65989789521844,126.65989789521844,980765.6791855167,-199.99999993004013,0.0,7.519419508196944,1.55e-06,2.265895525104194,1461868.0807123831,24230.740165044153,90105.66678160313,85052.55683232605
,-700.0000000000007,699.9999999999994,-200.00000000000006,199.99999999999997,-126.7728004954364,126.7728004954364,1059226.1954770042,-225.00000240540763,0.0,7.596793021158858,1.55e-06,2.4461270568072093,1578146.4882627157,26388.377620605,110731.06133663059,105240.12039388086
,-749.9999999999998,750.0000000000001,-200.00000000000003,199.99999999999997,-126.88727838275213,126.88727838275213,1137686.2971078777,-250.00000000128463,0.0,7.663706077293819,1.55e-06,2.6263652249872567,1694429.1774111334,28546.040876237952,134414.32725559588,128485.56903354252
,-800.0000000000009,799.9999999999992,-200.00000000000009,199.99999999999994,-125.10304315071636,125.10304315071636,1216146.7953816685,-274.9999999807247,0.0,7.721873885660208,1.55e-06,2.8065968555006404,1810707.6487100907,30703.63418710835,161380.35657232476,155013.8131156528
,-850.0000000000003,849.9999999999997,-199.9999999999999,200.0000000000001,-125.2184161361013,125.2184161361013,1294607.4389917941,-299.9999999788725,0.0,7.772860903771226,1.55e-06,2.986821052017304,1926981.3238821318,32861.151186458505,191854.30401075678,185050.00043456707
,-900.0000000000013,899.9999999999989,-199.99999999999994,200.00000000000006,-127.23330784096916,127.23330784096916,1373067.9312353996,-324.999999959083,0.0,7.818191586000366,1.55e-06,3.167052371522778,2043259.5945308246,35018.7100217167,226062.03439337475,218819.97957120917
,-950.0000000000013,949.9999999999986,-200.00000000000023,199.99999999999977,-127.34958433292923,127.34958433292923,1451528.386749379,-349.99999994729905,0.0,7.858633695952608,1.55e-06,3.347284100755011,2159538.129519362,37176.26529155343,264228.5471821826,256548.7439740163
,-999.999999999999,1000.000000000001,-200.0000000000001,199.9999999999999,-127.46621767991553,127.46621767991553,1529988.1452888004,-374.999999948979,0.0,7.895151097599879,1.55e-06,3.5275257109345604,2275823.0393126197,39333.884079980766,306579.9601870924,298462.3973494612
,-1050.000000000002,1049.9999999999982,-200.00000000000003,199.99999999999997,-127.58280275452597,127.58280275452597,1608448.6433164694,-399.9999999402494,0.0,7.9279341850172615,1.55e-06,3.707757469064945,2392101.592945126,41491.41756741814,353340.1424215446,344784.8540553519
,-1100.0000000000005,1099.9999999999995,-200.0,200.0,-127.7000283578867,127.7000283578867,1686909.3096399463,-424.99999995623773,0.0,7.957449321786754,1.55e-06,3.8879760360293516,2508371.636147969,43648.839436342096,404733.80269257596,395740.81978184544
,-1150.000000000001,1149.9999999999989,-200.00000000000048,199.99999999999955,-127.81781499247872,127.81781499247872,1765369.8080444564,-449.9999999713684,0.0,7.984566829837908,1.55e-06,4.068207746894621,2624650.159286852,45806.35849386892,460988.53139566147,451557.83615254855
,-1200.0000000000027,1199.9999999999975,-199.99999999999994,200.00000000000006,-127.93546689303064,127.93546689303064,1843830.306604551,-475.00000000563716,0.0,8.00938612614418,1.55e-06,4.248439539773787,2740928.735337927,47963.8742699367,522328.54892214405,512460.1442739596
,-400.0000000000003,399.9999999999997,-200.0,200.00000000000003,-151.1325738784901,151.1325738784901,625863.3537877024,-50.00000547716065,0.0,6.232462536010629,1.55e-06,1.457332949758382,940214.8062957304,17363.322700687386,29180.459523484707,23199.454492299214
